year,environment_authority,region,department,municipality,category,sector,result
2018,CODECHOCÓ,Pacific,Chocó,Tadó,Sustainable goods and services from natural resources,Sustainable agroindustry,Intermediate
2018,CODECHOCÓ,Pacific,Chocó,El carmen de atrato,Industrial eco-products,Sustainable construction,Ideal
2018,CODECHOCÓ,Pacific,Chocó,Quibdó,Sustainable goods and services from natural resources,Biocommerce,Basic
2018,CODECHOCÓ,Pacific,Chocó,Quibdó,Industrial eco-products,Waste recovery and valorization,Intermediate
2018,CODECHOCÓ,Pacific,Chocó,Quibdó,Sustainable goods and services from natural resources,Biocommerce,Ideal
2018,CODECHOCÓ,Pacific,Chocó,Istmina,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORANTIOQUIA,Cofee belt and Antioquia,Antioquia,Envigado,Sustainable goods and services from natural resources,Sustainable agrosystems,Basic
2018,CORALINA,Seaflower,San Andrés y Providencia,San Andrés,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORALINA,Seaflower,San Andrés y Providencia,Providencia,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORALINA,Seaflower,San Andrés y Providencia,Providencia,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2018,CORALINA,Seaflower,San Andrés y Providencia,Providencia,Sustainable goods and services from natural resources,Biocommerce,Advanced
2018,CORALINA,Seaflower,San Andrés y Providencia,San Andrés,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2018,CORMACARENA,NA,Meta,Villavicencio,Sustainable goods and services from natural resources,Sustainable agroindustry,Ideal
2018,CORALINA,Seaflower,San Andrés y Providencia,San Andrés,Industrial eco-products,Other sustainable green goods and services,Satisfactory
2018,CORALINA,Seaflower,San Andrés y Providencia,San Andrés,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2018,CORALINA,Seaflower,San Andrés y Providencia,San Andrés,Industrial eco-products,Other sustainable green goods and services,Satisfactory
2018,CORALINA,Seaflower,San Andrés y Providencia,Providencia,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2018,CORALINA,Seaflower,San Andrés y Providencia,San Andrés,Industrial eco-products,Waste recovery and valorization,Satisfactory
2018,CORALINA,Seaflower,San Andrés y Providencia,Providencia,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORANTIOQUIA,Cofee belt and Antioquia,Antioquia,Envigado,Sustainable goods and services from natural resources,Sustainable agroindustry,Ideal
2018,CORMACARENA,NA,Meta,Villavicencio,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2018,CORMACARENA,NA,Meta,Villavicencio,Industrial eco-products,Waste recovery and valorization,Intermediate
2018,CORMACARENA,NA,Meta,Acacías,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2018,CORMACARENA,NA,Meta,Vistahermosa,Sustainable goods and services from natural resources,Sustainable agrosystems,Ideal
2018,CORMACARENA,NA,Meta,Villavicencio,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2018,CORMACARENA,NA,Meta,Lejanías,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2018,CORMACARENA,NA,Meta,Villavicencio,Sustainable goods and services from natural resources,Sustainable agroindustry,Intermediate
2018,CORMACARENA,NA,Meta,Villavicencio,Industrial eco-products,Sustainable construction,Satisfactory
2018,CORPAMAG,Caribbean,Magdalena,Santa Marta,Sustainable goods and services from natural resources,Sustainable agroindustry,Ideal
2018,CORPOAMAZONÍA,Amazon,Caquetá,Florencia,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2018,CORMACARENA,NA,Meta,Villavicencio,Industrial eco-products,Waste recovery and valorization,Satisfactory
2018,CORMACARENA,NA,Meta,Villavicencio,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2018,CORMACARENA,NA,Meta,Villavicencio,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORMACARENA,NA,Meta,Lejanías,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORMACARENA,NA,Meta,San Martín,Industrial eco-products,Waste recovery and valorization,Intermediate
2018,CORMACARENA,NA,Meta,Villavicencio,Industrial eco-products,Waste recovery and valorization,Satisfactory
2018,CORMACARENA,NA,Meta,Vistahermosa,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2018,CORMACARENA,NA,Meta,Villavicencio,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Caquetá,El Doncello,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Caquetá,Morelia,Sustainable goods and services from natural resources,Biocommerce,Ideal
2018,CORPOAMAZONÍA,Amazon,Caquetá,Florencia,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Sibundoy,Industrial eco-products,Waste recovery and valorization,Advanced
2018,CORPOAMAZONÍA,Amazon,Putumayo,Orito,Industrial eco-products,Waste recovery and valorization,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Orito,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Caquetá,Florencia,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Puerto Asís,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2018,CORPOAMAZONÍA,Amazon,Amazonas,Tarapacá,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Caquetá,Florencia,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Caquetá,Florencia,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Puerto Leguízamo,Sustainable goods and services from natural resources,Biocommerce,Initial
2018,CORPOAMAZONÍA,Amazon,Putumayo,Puerto Leguízamo,Sustainable goods and services from natural resources,Biocommerce,Initial
2018,CORPOAMAZONÍA,Amazon,Putumayo,Puerto Leguízamo,Sustainable goods and services from natural resources,Biocommerce,Initial
2018,CORPOAMAZONÍA,Amazon,Caquetá,Florencia,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2018,CORPOAMAZONÍA,Amazon,Caquetá,Florencia,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Caquetá,Florencia,Sustainable goods and services from natural resources,Biocommerce,Basic
2018,CORPOAMAZONÍA,Amazon,Caquetá,Florencia,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2018,CORPOAMAZONÍA,Amazon,Putumayo,Puerto Leguízamo,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Orito,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Caquetá,Solano,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2018,CORPOAMAZONÍA,Amazon,Caquetá,Milán,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Caquetá,Florencia,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2018,CORPOAMAZONÍA,Amazon,Caquetá,Milán,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2018,CORPOAMAZONÍA,Amazon,Caquetá,Florencia,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Caquetá,Florencia,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2018,CORPOAMAZONÍA,Amazon,Caquetá,Florencia,Industrial eco-products,Waste recovery and valorization,Intermediate
2018,CORPOAMAZONÍA,Amazon,Putumayo,Puerto Asís,Sustainable goods and services from natural resources,Sustainable agrosystems,Intermediate
2018,CORPOAMAZONÍA,Amazon,Putumayo,Mocoa,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Mocoa,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,San Francisco,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Amazonas,Leticia,Sustainable goods and services from natural resources,Sustainable agroindustry,Basic
2018,CORPOAMAZONÍA,Amazon,Putumayo,Mocoa,Sustainable goods and services from natural resources,Sustainable agroindustry,Intermediate
2018,CORPOAMAZONÍA,Amazon,Putumayo,Sibundoy,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Sibundoy,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Villagarzón,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2018,CORPOAMAZONÍA,Amazon,Putumayo,Colón,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Puerto Leguízamo,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Caquetá,Florencia,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Caquetá,Florencia,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Mocoa,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Caquetá,Florencia,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Mocoa,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Mocoa,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Amazonas,Leticia,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Valle del Guamuez,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Sibundoy,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Caquetá,Florencia,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Valle del Guamuez,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Sibundoy,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2018,CORPOAMAZONÍA,Amazon,Putumayo,Sibundoy,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Puerto Asís,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Caquetá,Florencia,Sustainable goods and services from natural resources,Biocommerce,Basic
2018,CORPOAMAZONÍA,Amazon,Caquetá,Florencia,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2018,CORPOAMAZONÍA,Amazon,Caquetá,Florencia,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2018,CORPOAMAZONÍA,Amazon,Caquetá,Florencia,Industrial eco-products,Waste recovery and valorization,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Valle del Guamuez,Industrial eco-products,Other sustainable green goods and services,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Puerto Asís,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Caquetá,Florencia,Industrial eco-products,Sustainable construction,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Caquetá,Florencia,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Amazonas,Leticia,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Puerto Caicedo,Sustainable goods and services from natural resources,Sustainable agrosystems,Intermediate
2018,CORPOAMAZONÍA,Amazon,Putumayo,Mocoa,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Sibundoy,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Mocoa,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Caquetá,Florencia,Sustainable goods and services from natural resources,Sustainable agroindustry,Ideal
2018,CORPOAMAZONÍA,Amazon,Putumayo,Sibundoy,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Caquetá,Florencia,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Caquetá,Florencia,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Mocoa,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2018,CORPOAMAZONÍA,Amazon,Putumayo,Mocoa,Sustainable goods and services from natural resources,Biocommerce,Advanced
2018,CORPOAMAZONÍA,Amazon,Putumayo,Mocoa,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Villagarzón,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Caquetá,Florencia,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Caquetá,La Montañita,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Sibundoy,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Mocoa,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Amazonas,Leticia,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Sibundoy,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Valle del Guamuez,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Puerto Asís,Sustainable goods and services from natural resources,Sustainable agroindustry,Advanced
2018,CORPOAMAZONÍA,Amazon,Putumayo,Puerto Leguízamo,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Amazonas,Leticia,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Amazonas,Leticia,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Amazonas,Leticia,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2018,CORPOAMAZONÍA,Amazon,Amazonas,Leticia,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Amazonas,La Pedrera,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Orito,Sustainable goods and services from natural resources,Sustainable agroindustry,Advanced
2018,CORPOAMAZONÍA,Amazon,Putumayo,Mocoa,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Caquetá,Florencia,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Caquetá,Florencia,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Caquetá,Curillo,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Caquetá,Florencia,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Colón,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Mocoa,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Mocoa,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Mocoa,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Caquetá,San Vicente del Caguán,Sustainable goods and services from natural resources,Biocommerce,Ideal
2018,CORPOAMAZONÍA,Amazon,Putumayo,Sibundoy,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Amazonas,Tarapacá,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Sibundoy,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Sibundoy,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Caquetá,Florencia,Industrial eco-products,Other sustainable green goods and services,Satisfactory
2018,CORPONARIÑO,Pacific,Nariño,Pasto,Sustainable goods and services from natural resources,Sustainable agroindustry,Intermediate
2018,CORPOAMAZONÍA,Amazon,Caquetá,Florencia,Industrial eco-products,Other sustainable green goods and services,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Caquetá,La Montañita,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Puerto Leguízamo,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Mocoa,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Puerto Asís,Sustainable goods and services from natural resources,Sustainable agroindustry,Ideal
2018,CORPOAMAZONÍA,Amazon,Putumayo,Mocoa,Sustainable goods and services from natural resources,Sustainable agroindustry,Advanced
2018,CORPOAMAZONÍA,Amazon,Putumayo,Mocoa,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Caquetá,Florencia,Sustainable goods and services from natural resources,Biocommerce,Ideal
2018,CORPOAMAZONÍA,Amazon,Caquetá,Belén de Los Andaquíes,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Caquetá,Florencia,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Orito,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Puerto Asís,Industrial eco-products,Waste recovery and valorization,Advanced
2018,CORPOAMAZONÍA,Amazon,Amazonas,Leticia,Sustainable goods and services from natural resources,Sustainable agrosystems,Intermediate
2018,CORPOAMAZONÍA,Amazon,Amazonas,Leticia,Sustainable goods and services from natural resources,Sustainable agrosystems,Basic
2018,CORPOAMAZONÍA,Amazon,Amazonas,Leticia,Sustainable goods and services from natural resources,Sustainable agrosystems,Intermediate
2018,CORPOAMAZONÍA,Amazon,Amazonas,Leticia,Sustainable goods and services from natural resources,Sustainable agrosystems,Basic
2018,CORPOAMAZONÍA,Amazon,Amazonas,Leticia,Sustainable goods and services from natural resources,Sustainable agrosystems,Intermediate
2018,CORPOAMAZONÍA,Amazon,Caquetá,Florencia,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Amazonas,Leticia,Sustainable goods and services from natural resources,Sustainable agrosystems,Intermediate
2018,CORPOAMAZONÍA,Amazon,Amazonas,Leticia,Sustainable goods and services from natural resources,Sustainable agrosystems,Intermediate
2018,CORPOAMAZONÍA,Amazon,Amazonas,Leticia,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Amazonas,Puerto Nariño,Sustainable goods and services from natural resources,Sustainable agrosystems,Intermediate
2018,CORPOAMAZONÍA,Amazon,Amazonas,Puerto Nariño,Sustainable goods and services from natural resources,Sustainable agrosystems,Intermediate
2018,CORPOAMAZONÍA,Amazon,Putumayo,Puerto Caicedo,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Caquetá,El Doncello,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Puerto Asís,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Caquetá,Florencia,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2018,CORPOAMAZONÍA,Amazon,Caquetá,Florencia,Sustainable goods and services from natural resources,Sustainable agroindustry,Advanced
2018,CORPOAMAZONÍA,Amazon,Amazonas,Leticia,Sustainable goods and services from natural resources,Sustainable agroindustry,Intermediate
2018,CORPOAMAZONÍA,Amazon,Putumayo,Puerto Asís,Sustainable goods and services from natural resources,Sustainable agroindustry,Basic
2018,CORPOAMAZONÍA,Amazon,Amazonas,La Pedrera,Sustainable goods and services from natural resources,Sustainable agroindustry,Intermediate
2018,CORPOAMAZONÍA,Amazon,Amazonas,Tarapacá,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Amazonas,Leticia,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Mocoa,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Caquetá,La Montañita,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Caquetá,San José del Fragua,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Caquetá,Florencia,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Amazonas,Puerto Nariño,Sustainable goods and services from natural resources,Sustainable agrosystems,Intermediate
2018,CORPOAMAZONÍA,Amazon,Putumayo,Valle del Guamuez,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Mocoa,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Caquetá,Florencia,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Orito,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Villagarzón,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Caquetá,Florencia,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Mocoa,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Amazonas,Leticia,Sustainable goods and services from natural resources,Biocommerce,Ideal
2018,CORPOAMAZONÍA,Amazon,Putumayo,Mocoa,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Mocoa,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Orito,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Orito,Industrial eco-products,Waste recovery and valorization,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Caquetá,San Vicente del Caguán,Industrial eco-products,Other sustainable green goods and services,Ideal
2018,CORPOAMAZONÍA,Amazon,Putumayo,Santiago,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2018,CORPOAMAZONÍA,Amazon,Amazonas,Leticia,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Colón,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Amazonas,Leticia,Sustainable goods and services from natural resources,Biocommerce,Ideal
2018,CORPOAMAZONÍA,Amazon,Amazonas,Leticia,Sustainable goods and services from natural resources,Biocommerce,Advanced
2018,CORPOAMAZONÍA,Amazon,Caquetá,Belén de Los Andaquíes,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Mocoa,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Orito,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2018,CORPOAMAZONÍA,Amazon,Putumayo,Puerto Asís,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Putumayo,Puerto Asís,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2018,CORPOAMAZONÍA,Amazon,Putumayo,Mocoa,Sustainable goods and services from natural resources,Sustainable agroindustry,Intermediate
2018,CORPOCALDAS,Cofee belt and Antioquia,Caldas,Manizales,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2018,CORPOCALDAS,Cofee belt and Antioquia,Caldas,Marquetalia,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2018,CORPONOR,Santanderes,Norte De Santander,Chitagá,Industrial eco-products,Waste recovery and valorization,Basic
2018,CORPOAMAZONÍA,Amazon,Amazonas,La Chorrera,Sustainable goods and services from natural resources,Sustainable agrosystems,Basic
2018,CORPOBOYACÁ,Central,Boyacá,Nobsa,Sustainable goods and services from natural resources,Sustainable agroindustry,Intermediate
2018,CORPOBOYACÁ,Central,Boyacá,Duitama,Sustainable goods and services from natural resources,Sustainable agrosystems,Advanced
2018,CORPOCALDAS,Cofee belt and Antioquia,Caldas,Manizales,Industrial eco-products,Waste recovery and valorization,Advanced
2018,CORPOCALDAS,Cofee belt and Antioquia,Caldas,Chinchiná,Sustainable goods and services from natural resources,Biocommerce,Advanced
2018,CORPOCALDAS,Cofee belt and Antioquia,Caldas,Anserma,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2018,CORPOCALDAS,Cofee belt and Antioquia,Caldas,Manizales,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOCALDAS,Cofee belt and Antioquia,Caldas,Manizales,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOCALDAS,Cofee belt and Antioquia,Caldas,Salamina,Industrial eco-products,Waste recovery and valorization,Satisfactory
2018,CORPOCALDAS,Cofee belt and Antioquia,Caldas,Manizales,Industrial eco-products,Sustainable construction,Satisfactory
2018,CORPOCALDAS,Cofee belt and Antioquia,Caldas,Palestina,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2018,CORPOCALDAS,Cofee belt and Antioquia,Caldas,Riosucio,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2018,CORPOCALDAS,Cofee belt and Antioquia,Caldas,Samaná,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOCALDAS,Cofee belt and Antioquia,Caldas,Salamina,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CORPOCALDAS,Cofee belt and Antioquia,Caldas,Victoria,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2018,CORPOCALDAS,Cofee belt and Antioquia,Caldas,Manizales,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2018,CORPOCALDAS,Cofee belt and Antioquia,Caldas,Anserma,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
